,kics,dnus
0,KIC757137,3.378275719478694
1,KIC892010,-inf
2,KIC892738,-inf
3,KIC892760,-inf
4,KIC893214,-inf
5,KIC893233,-inf
6,KIC1026084,-inf
7,KIC1026180,-inf
8,KIC1026309,-inf
9,KIC1026326,-inf
10,KIC1026452,-inf
11,KIC1027110,-inf
12,KIC1027337,-inf
13,KIC1027582,-inf
14,KIC1028267,-inf
15,KIC1160684,-inf
16,KIC1160789,-inf
17,KIC1161447,-inf
18,KIC1161618,-inf
19,KIC1162220,-inf
20,KIC1162746,-inf
21,KIC1163114,-inf
22,KIC1163359,-inf
23,KIC1163453,-inf
24,KIC1163621,-inf
25,KIC1164301,-inf
26,KIC1164584,-inf
27,KIC1292147,-inf
28,KIC1294122,-inf
29,KIC1294385,-inf
30,KIC1294578,-inf
31,KIC1294924,-inf
32,KIC1295017,-inf
33,KIC1295475,-inf
34,KIC1296068,-inf
35,KIC1296179,-inf
36,KIC1296507,-inf
37,KIC1297272,-inf
38,KIC1429497,-inf
39,KIC1429505,-inf
40,KIC1429629,-inf
41,KIC1430118,-inf
42,KIC1430912,-inf
43,KIC1430985,-inf
44,KIC1431059,-inf
45,KIC1431316,-inf
46,KIC1432587,-inf
47,KIC1432825,-inf
48,KIC1433132,-inf
49,KIC1433593,-inf
50,KIC1433730,-inf
51,KIC1433803,-inf
52,KIC1434395,-inf
53,KIC1435573,-inf
54,KIC1569823,-inf
55,KIC1569842,-inf
56,KIC1571780,-inf
57,KIC1572049,-inf
58,KIC1572175,-inf
59,KIC1572317,-inf
60,KIC1572780,-inf
61,KIC1573925,-inf
62,KIC1575886,-inf
63,KIC1576043,-inf
64,KIC1576420,-inf
65,KIC1576469,-inf
66,KIC1576646,-inf
67,KIC1577143,-inf
68,KIC1701763,-inf
69,KIC1717618,-inf
70,KIC1717783,-inf
71,KIC1717994,-inf
72,KIC1718743,-inf
73,KIC1719065,-inf
74,KIC1719297,-inf
75,KIC1719422,-inf
76,KIC1720241,-inf
77,KIC1720425,-inf
78,KIC1721071,-inf
79,KIC1721595,-inf
80,KIC1723047,-inf
81,KIC1723191,-inf
82,KIC1723656,-inf
83,KIC1723700,-inf
84,KIC1723752,-inf
85,KIC1723843,-inf
86,KIC1725183,-inf
87,KIC1725190,-inf
88,KIC1725552,-inf
89,KIC1725626,-inf
90,KIC1725796,-inf
91,KIC1725952,-inf
92,KIC1726211,-inf
93,KIC1726245,-inf
94,KIC1726291,-inf
95,KIC1849462,-inf
96,KIC1849679,-inf
97,KIC1850285,-inf
98,KIC1864183,-inf
99,KIC1864855,-inf
100,KIC1864959,-inf
101,KIC1865102,-inf
102,KIC1865262,-inf
103,KIC1865595,-inf
104,KIC1865744,-inf
105,KIC1865747,-inf
106,KIC1866137,-inf
107,KIC1867706,-inf
108,KIC1868101,-inf
109,KIC1868303,-inf
110,KIC1870196,-inf
111,KIC1870433,-inf
112,KIC1870495,-inf
113,KIC1870714,-inf
114,KIC1871314,-inf
115,KIC1871465,-inf
116,KIC1871571,-inf
117,KIC1871631,-inf
118,KIC1871927,-inf
119,KIC1872166,-inf
120,KIC1872210,-inf
121,KIC1872375,-inf
122,KIC1872421,-inf
123,KIC1872469,-inf
124,KIC1872517,-inf
125,KIC1872842,-inf
126,KIC1872869,-inf
127,KIC1873198,-inf
128,KIC1873204,-inf
129,KIC1873510,-inf
130,KIC1873898,-inf
131,KIC1873986,-inf
132,KIC1995358,-inf
133,KIC1995522,-inf
134,KIC1995668,-inf
135,KIC1995859,-inf
136,KIC1996078,-inf
137,KIC1996415,-inf
138,KIC1996818,-inf
139,KIC2010137,-inf
140,KIC2010138,-inf
141,KIC2010366,-inf
142,KIC2010702,-inf
143,KIC2010855,-inf
144,KIC2011048,-inf
145,KIC2011314,-inf
146,KIC2011582,-inf
147,KIC2011675,-inf
148,KIC2011827,-inf
149,KIC2011883,-inf
150,KIC2011891,-inf
151,KIC2012065,-inf
152,KIC2012216,-inf
153,KIC2012932,-inf
154,KIC2013502,-inf
155,KIC2013530,-inf
156,KIC2014377,-inf
157,KIC2014684,-inf
158,KIC2015820,-inf
159,KIC2016676,-inf
160,KIC2016706,-inf
161,KIC2016978,-inf
162,KIC2017541,-inf
163,KIC2018007,-inf
164,KIC2018283,-inf
165,KIC2018392,-inf
166,KIC2018537,-inf
167,KIC2018585,-inf
168,KIC2018642,-inf
169,KIC2018667,-inf
170,KIC2019109,-inf
171,KIC2019258,-inf
172,KIC2019396,-inf
173,KIC2019959,-inf
174,KIC2020280,-inf
175,KIC2020383,-inf
176,KIC2020876,-inf
177,KIC2021216,-inf
178,KIC2140446,-inf
179,KIC2140982,-inf
180,KIC2141255,-inf
181,KIC2141413,-inf
182,KIC2141436,-inf
183,KIC2141928,-inf
184,KIC2141932,-inf
185,KIC2142095,-inf
186,KIC2142280,-inf
187,KIC2142405,-inf
188,KIC2142508,-inf
189,KIC2142628,-inf
190,KIC2142675,-inf
191,KIC2155148,-inf
192,KIC2155220,-inf
193,KIC2155506,-inf
194,KIC2155869,-inf
195,KIC2156074,-inf
196,KIC2156155,-inf
197,KIC2156178,-inf
198,KIC2156988,-inf
199,KIC2157059,-inf
200,KIC2157650,-inf
201,KIC2157725,-inf
202,KIC2157928,-inf
203,KIC2157964,-inf
204,KIC2158410,-inf
205,KIC2158815,-inf
206,KIC2159728,-inf
207,KIC2159864,-inf
208,KIC2160161,-inf
209,KIC2160572,-inf
210,KIC2160779,-inf
211,KIC2160901,-inf
212,KIC2160910,-inf
213,KIC2161407,-inf
214,KIC2161409,-inf
215,KIC2161731,-inf
216,KIC2161831,-inf
217,KIC2162486,-inf
218,KIC2163121,-inf
219,KIC2163597,-inf
220,KIC2163605,-inf
221,KIC2163856,-inf
222,KIC2164262,-inf
223,KIC2164327,-inf
224,KIC2164379,-inf
225,KIC2164874,-inf
226,KIC2165198,-inf
227,KIC2165371,-inf
228,KIC2165450,-inf
229,KIC2165589,-inf
230,KIC2165615,-inf
231,KIC2165710,-inf
232,KIC2165894,-inf
233,KIC2166119,-inf
234,KIC2166223,-inf
235,KIC2166393,-inf
236,KIC2166709,-inf
237,KIC2166766,-inf
238,KIC2166769,-inf
239,KIC2167447,-inf
240,KIC2167774,-inf
241,KIC2168184,-inf
242,KIC2282855,-inf
243,KIC2283075,-inf
244,KIC2283093,-inf
245,KIC2283435,-inf
246,KIC2283532,-inf
247,KIC2283721,-inf
248,KIC2284278,-inf
249,KIC2284330,-inf
250,KIC2284679,-inf
251,KIC2285551,-inf
252,KIC2285776,-inf
253,KIC2285827,-inf
254,KIC2285898,-inf
255,KIC2285941,-inf
256,KIC2297384,-inf
257,KIC2297785,-inf
258,KIC2297825,-inf
259,KIC2299888,-inf
260,KIC2299926,-inf
261,KIC2300227,-inf
262,KIC2300329,-inf
263,KIC2300494,-inf
264,KIC2300503,-inf
265,KIC2300853,-inf
266,KIC2300962,-inf
267,KIC2301349,-inf
268,KIC2301577,-inf
269,KIC2302010,-inf
270,KIC2303101,-inf
271,KIC2303200,-inf
272,KIC2303304,-inf
273,KIC2303367,-inf
274,KIC2303414,-inf
275,KIC2303610,-inf
276,KIC2303756,-inf
277,KIC2303870,-inf
278,KIC2303954,-inf
279,KIC2304104,-inf
280,KIC2304765,-inf
281,KIC2304883,-inf
282,KIC2305082,-inf
283,KIC2305145,-inf
284,KIC2305407,-inf
285,KIC2305479,-inf
286,KIC2305590,-inf
287,KIC2305930,-inf
288,KIC2305969,-inf
289,KIC2305987,-inf
290,KIC2305992,-inf
291,KIC2306481,-inf
292,KIC2307683,-inf
293,KIC2308196,-inf
294,KIC2308429,-inf
295,KIC2308762,-inf
296,KIC2308968,-inf
297,KIC2309235,-inf
298,KIC2309286,-inf
299,KIC2309469,-inf
300,KIC2309550,-inf
301,KIC2309617,-inf
302,KIC2309720,-inf
303,KIC2310571,-inf
304,KIC2311069,-inf
305,KIC2311548,-inf
306,KIC2421920,-inf
307,KIC2422073,-inf
308,KIC2422558,-inf
309,KIC2422568,-inf
310,KIC2422635,-inf
311,KIC2423694,-inf
312,KIC2423737,-inf
313,KIC2423824,-inf
314,KIC2423932,-inf
315,KIC2424822,-inf
316,KIC2424934,-inf
317,KIC2424955,-inf
318,KIC2425044,-inf
319,KIC2425316,-inf
320,KIC2425348,-inf
321,KIC2425375,-inf
322,KIC2425631,-inf
323,KIC2435987,-inf
324,KIC2436097,-inf
325,KIC2436209,-inf
326,KIC2436332,-inf
327,KIC2436417,-inf
328,KIC2436457,-inf
329,KIC2436458,-inf
330,KIC2436540,-inf
331,KIC2436676,-inf
332,KIC2436688,-inf
333,KIC2436732,-inf
334,KIC2436814,-inf
335,KIC2436824,-inf
336,KIC2436900,-inf
337,KIC2436912,-inf
338,KIC2437040,-inf
339,KIC2437103,-inf
340,KIC2437191,-inf
341,KIC2437240,-inf
342,KIC2437340,-inf
343,KIC2437353,-inf
344,KIC2437402,-inf
345,KIC2437444,-inf
346,KIC2437488,-inf
347,KIC2437507,-inf
348,KIC2437539,-inf
349,KIC2437564,-inf
350,KIC2437589,-inf
351,KIC2437653,-inf
352,KIC2437692,-inf
353,KIC2437698,-inf
354,KIC2437781,-inf
355,KIC2437804,-inf
356,KIC2437805,-inf
357,KIC2437816,-inf
358,KIC2437957,-inf
359,KIC2437965,-inf
360,KIC2437976,-inf
361,KIC2437987,-inf
362,KIC2438038,-inf
363,KIC2438051,-inf
364,KIC2438094,-inf
365,KIC2438140,-inf
366,KIC2438333,-inf
367,KIC2438368,-inf
368,KIC2438470,-inf
369,KIC2438522,-inf
370,KIC2439378,-inf
371,KIC2439420,-inf
372,KIC2441510,-inf
373,KIC2441711,-inf
374,KIC2441995,-inf
375,KIC2442363,-inf
376,KIC2442382,-inf
377,KIC2442483,-inf
378,KIC2442559,-inf
379,KIC2442606,-inf
380,KIC2442759,-inf
381,KIC2443035,-inf
382,KIC2443573,-inf
383,KIC2443691,-inf
384,KIC2443903,-inf
385,KIC2444062,-inf
386,KIC2444316,-inf
387,KIC2444348,-inf
388,KIC2444598,-inf
389,KIC2444691,-inf
390,KIC2444790,-inf
391,KIC2445426,-inf
392,KIC2445712,-inf
393,KIC2445833,-inf
394,KIC2445947,-inf
395,KIC2446141,-inf
396,KIC2446327,-inf
397,KIC2447046,-inf
398,KIC2447476,-inf
399,KIC2447529,-inf
400,KIC2447604,-inf
401,KIC2448225,-inf
402,KIC2448260,-inf
403,KIC2448679,-inf
404,KIC2448756,-inf
405,KIC2449020,-inf
406,KIC2449327,-inf
407,KIC2449374,-inf
408,KIC2449518,-inf
409,KIC2449558,-inf
410,KIC2449570,-inf
411,KIC2449703,-inf
412,KIC2449858,-inf
413,KIC2450318,-inf
414,KIC2451509,-inf
415,KIC2451903,-inf
416,KIC2452439,-inf
417,KIC2452890,-inf
418,KIC2554152,-inf
419,KIC2554924,-inf
420,KIC2556252,-inf
421,KIC2556387,-inf
422,KIC2556475,-inf
423,KIC2556640,-inf
424,KIC2557392,-inf
425,KIC2557441,-inf
426,KIC2557556,-inf
427,KIC2557799,-inf
428,KIC2557864,-inf
429,KIC2557942,-inf
430,KIC2558677,-inf
431,KIC2558794,-inf
432,KIC2568563,-inf
433,KIC2568912,-inf
434,KIC2569055,-inf
435,KIC2569360,-inf
436,KIC2569618,-inf
437,KIC2569945,-inf
438,KIC2570094,-inf
439,KIC2570172,-inf
440,KIC2570214,-inf
441,KIC2570244,-inf
442,KIC2570370,-inf
443,KIC2570384,-inf
444,KIC2570518,-inf
445,KIC2570659,-inf
446,KIC2570715,-inf
447,KIC2570870,-inf
448,KIC2571106,-inf
449,KIC2571323,-inf
450,KIC2571668,-inf
451,KIC2572089,-inf
452,KIC2572323,-inf
453,KIC2572430,-inf
454,KIC2572522,-inf
455,KIC2572667,-inf
456,KIC2573092,-inf
457,KIC2573548,-inf
458,KIC2574191,-inf
459,KIC2574543,-inf
460,KIC2575024,-inf
461,KIC2575044,-inf
462,KIC2576211,-inf
463,KIC2576417,-inf
