KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
757137,9.2,17,1308.7,29.99,0.6,3.399,0.011,104.9,4.6,12.3,1.5,2787.2,286.3,4751,139,2.383,0.012,-0.08,0.3,1.7,0.14,13.91,0.41,1.55,0.13,13.26,0.39,1.72,0.14,13.97,0.41,1,3.378275719478693
892010,11.67,4,206.3,17.85,0.89,2.427,0.078,196.0,20.5,8.5,2.5,17002.1,3464.7,4834,151,2.161,0.023,0.21,0.3,1.42,0.29,16.37,1.38,1.36,0.28,16.02,1.34,1.43,0.3,16.47,1.39,0,5.055156584859919
892738,11.73,18,1318.1,7.48,0.35,1.3,0.031,384.4,35.5,3.4,0.7,141955.4,12636.8,4534,135,1.769,0.022,-0.25,0.3,1.15,0.21,23.15,1.62,0.99,0.18,21.49,1.48,1.12,0.2,22.86,1.6,0,2.5502185720352726
892760,13.23,6,380.8,29.48,0.48,3.962,0.116,149.7,8.3,12.0,3.9,6319.1,1108.3,5188,183,2.394,0.011,-0.21,0.3,1.0,0.14,10.51,0.68,1.04,0.15,10.74,0.7,1.0,0.14,10.52,0.68,2,2.1839623408161444
893214,12.58,15,1211.9,41.39,0.54,4.311,0.013,86.1,4.6,15.3,1.6,1337.0,289.9,4728,80,2.522,0.008,-0.15,0.15,1.72,0.1,11.9,0.26,1.54,0.09,11.29,0.24,1.72,0.1,11.92,0.26,1,4.302619055189787
893233,11.44,8,638.9,6.15,0.12,1.176,0.018000000000000002,563.5,50.6,2.3,0.3,174726.9,18712.7,4207,147,1.668,0.012,0.22,0.3,0.86,0.09,22.43,0.95,0.71,0.07,20.46,0.84,0.84,0.09,22.28,0.94,0,
1026084,12.14,15,1139.0,41.17,0.9,4.414,0.061,63.8,2.9,24.8,2.7,733.1,165.0,5072,166,2.5340000000000003,0.013,-0.12,0.3,1.71,0.18,11.69,0.48,1.67,0.17,11.55,0.48,1.75,0.18,11.83,0.49,2,4.4733313607004845
1026180,11.74,4,206.3,36.91,0.71,3.991,0.064,116.1,9.6,14.0,2.4,1641.2,697.8,4718,148,2.471,0.012,-0.02,0.3,1.65,0.17,12.37,0.53,1.5,0.16,11.8,0.5,1.67,0.17,12.43,0.53,2,3.943021754301824
1026309,10.6,18,1318.1,16.86,0.76,1.927,0.029,114.4,8.5,6.7,0.9,13065.8,1023.8,4514,80,2.121,0.02,0.25,0.15,2.71,0.42,23.71,1.35,2.6,0.4,23.22,1.32,2.73,0.42,23.78,1.35,0,1.9205349726816845
1026326,13.26,17,1308.7,94.86,0.65,8.83,0.019,59.1,2.4,29.6,1.6,154.0,33.5,5123,162,2.899,0.009000000000000001,-0.41,0.3,1.32,0.08,6.77,0.15,1.3,0.08,6.7,0.15,1.36,0.09,6.85,0.16,1,8.818409832454037
